seats,pct
<205,2.51
205-208,2.58
209-212,4.19
213-217,10.38
218-221,11.25
222-225,13.29
226-229,13.54
230-233,12.24
234-237,9.35
238-241,6.46
242-245,4.85
246-249,3.09
250-253,2.04
254-257,1.35
258-261,0.75
262-265,0.51
>265,1.62
