Candidate,Party,2026 Race,Role,Weighted Avg WAR,Cycles
Borris Miles,D,SD 13,Incumbent,11.9,1
Kristian Carranza,D,HD 118,Challenger,10.62,1
Trent Ashby,R,SD 3,Challenger,10.14,3
Denise Villalobos,R,HD 34,Incumbent,7.46,1
Ebony Turner,D,HD 96,Challenger,7.03,1
Ken King,R,HD 88,Incumbent,6.81,1
Yvonne Davis,D,HD 111,Incumbent,6.62,1
Oscar Longoria,D,HD 35,Incumbent,6.5,1
Detrick Deburr,D,HD 65,Challenger,5.58,1
Dawn Richardson,D,HD 54,Challenger,5.38,1
